Campaign,Topic,Month,Year,Responses,Targets,Effectiveness
Winter Freeze Open House,CoolSculpting,January,2016,38,9421,4.03
New at La Fontaine: PDO Thread Lift,Event,January,2016,35,10179,3.44
Xeomin Savings Card,Dermal Fillers,January,2016,3,1500,2
Ultrashape,UltraShape,January,2016,40,28896,1.38
Kick Off the New Year with Medical Weight Loss,Medical Weight Loss,January,2016,7,6795,1.03
Detox & Purify,Event,January,2016,0,1186,0
Webinar,,January,2016,72,16959,4.25
Laser Hair Removal,Laser Hair Removal,January,2016,30,9303,3.22
Vampire Facial,Vampire Facial,January,2016,4,3743,1.07
January Specials,Kybella,January,2016,11,18840,0.58
CoolSculpting Event,CoolSculpting,January,2016,1,2393,0.42
NRF,NRF,January,2016,0,5066,0
Open House,Event,January,2016,16,2873,5.57
"New Year, New You!",UltraShape,January,2016,6,1973,3.04
PicoSure & Laser Hair Removal Special,Laser Hair Removal,January,2016,22,19238,1.14
Introducing Venus Viva Skin Rejuvenation,Event,January,2016,1,5684,0.18
NRF-CEO,NRF-CEO,January,2016,0,306,0
Botox Special Offer,Special Offer,January,2016,0,7303,0
Hair Follicle Stimulation,Micro-Needling,January,2016,12,1460,8.22
Get Ready for Valentine's Day,Event,January,2016,21,12584,1.67
Kybella,Kybella,January,2016,8,37143,0.22
365 Days of Beauty,Vampire Facelifts,January,2016,0,1309,0
Grand Opening Specials,Botox,January,2016,14,2221,6.3
Botox and Filler Special,Botox,January,2016,15,12879,1.16
NRF 2016,NRF 2016,January,2016,0,4516,0
Lose holiday fat now!,CoolSculpting,January,2016,7,2220,3.15
Free Peel with BBL Photofacial,BBL Therapy,January,2016,8,2619,3.05
VelaShape III,VelaShape,January,2016,61,29748,2.05
Save on SculpSure,SculpSure,January,2016,4,12879,0.31
Vibrance Rejuvenation System,Bellafill,January,2016,0,587,0
NRF-Followup,NRF-Followup,January,2016,0,5065,0
Free Consultation,ChiroForNeckPain,January,2016,0,1945,0
You'll Need Smaller Clothes Soon,Medical Weight Loss,January,2016,18,1394,12.91
Coolsculpting,CoolSculpting,January,2016,23,2148,10.71
Amaze Them with the New You,Medical Weight Loss,January,2016,2,235,8.51
Ultherapy,Ultherapy,January,2016,24,3954,6.07
SKINposium 2016,Botox,January,2016,19,9446,2.01
Microneedling for Skin Rejuvenation,Micro-Needling,January,2016,41,4000,10.25
Microneedling for Scars & Large Pores,Micro-Needling,January,2016,4,967,4.14
IPL Special,IPL Therapy,January,2016,1,607,1.65
Auto Injury Care,ChiroForNeckPain,January,2016,0,1945,0
Lose the Love Handles,Medical Weight Loss,January,2016,9,544,16.54
Ladies Night Skincare & Aesthetics Event,Fractora,January,2016,5,1394,3.59
Your Dream Body in 2016,SmartLipo,January,2016,4,1309,3.06
Those Hands. Those Lips. Those Eyes.,Dermal Fillers,January,2016,14,6410,2.18
Weight Loss,Medical Weight Loss,January,2016,5,2482,2.01
Peel Away 2015 & SAVE,Chemical Peel,January,2016,0,587,0
Super Sclero Saturday,Sclerotherapy,January,2016,14,1396,10.03
Kybella for Double Chin,Kybella,January,2016,8,2977,2.69
Temecula February Specials,Botox,January,2016,23,2129,10.8
Introducing SculpSure,SculpSure,January,2016,21,5588,3.76
La Mesa Valentine's Day Event,Botox,January,2016,42,17161,2.45
Current Offers,Latisse,January,2016,3,2224,1.35
Femi-Lift,O-Shot,January,2016,4,161,24.84
Perfect Pucker,Dermal Fillers,January,2016,18,1793,10.04
Spider Vein Treatment,Sclerotherapy,January,2016,45,5451,8.26
mybody Youthboost Event,Event,January,2016,21,2977,7.05
Liposuction 1-2-3,Liposuction,January,2016,9,1625,5.54
CoolSculpting for Men,CoolSculpting,January,2016,4,1205,3.32
"Openings for Botox, Fillers and Laser Treatments",Botox,January,2016,11,6410,1.72
January News,Dermal Fillers,January,2016,2,2394,0.84
Your Best Body in 2016,Medical Weight Loss,January,2016,3,6769,0.44
Save on Laser Hair Removal,Laser Hair Removal,January,2016,78,10266,7.6
"New Body, New You!",CoolSculpting,January,2016,11,2907,3.78
Valentine's Day Specials,Laser Hair Removal,January,2016,7,1977,3.54
January Flash Sale,Dermal Fillers,January,2016,2,587,3.41
Chemical Peels,Chemical Peel,January,2016,8,23811,0.34
Laser hair Removal,Laser Hair Removal,January,2016,0,2005,0
FemiLift,O-Shot,January,2016,6,1991,3.01
Ultherapy Lunch and Learn,Ultherapy,January,2016,4,1118,3.58
January Bday,HydraFacial,January,2017,1,41,24.39
Happy Birthday,Birthday,January,2017,6,454,13.22
ReNew You for the New Year!,Dermal Fillers,January,2017,16,3833,4.17
"Cervical Cancer Awareness Month, January",,January,2017,6,2479,2.42
January Birthdays,Birthday,January,2017,1,413,2.42
ThermiVA & ThermiSMOOTH,ThermiVa,January,2017,12,8438,1.42
ThreeForMe Laser Treatments,Other,January,2017,5,3833,1.3
Venus Legacy Promotion,Venus Face,January,2017,0,3162,0
All Services,All Services,January,2017,0,4772,0
All Services,All Services,January,2017,0,10751,0
All Services,All Services,January,2017,0,1315,0
All Services,All Services,January,2017,0,2329,0
All Services,All Services,January,2017,0,539,0
All Services,All Services,January,2017,0,1567,0
All Services,All Services,January,2017,0,1358,0
Laser Specials,IPL Therapy,January,2017,0,15277,0
Body Contouring Specials,Ultherapy,January,2017,0,15277,0
Aesthetics Specials,Aesthetics Specials,January,2017,0,15277,0
Sun Damage Repair,Micro-Needling,January,2017,0,722,0
January birthday,HydraFacial,January,2017,0,70,0
New Year New You,New You,January,2017,0,7034,0
new year new you - male,CoolSculpting,January,2017,0,719,0
Birthday Celebrations -January,Birthday,January,2017,0,121,0
laser hair removal maintenance,Laser Hair Removal,January,2017,13,550,23.64
PDO Lifting,Event,January,2017,16,1253,12.77
Glow in the New Year,Chemical Peel,January,2017,11,917,12
Botox sale,Botox,January,2017,19,1874,10.14
"TIGHTEN, BRIGHTEN, AND LIGHTEN YOUR WAY INTO 2017",Venus Face,January,2017,3,299,10.03
Detox Event,Event,January,2017,10,1042,9.6
Sundamage Repair,IPL Therapy,January,2017,28,3152,8.88
Exilis Ultra & Vanquish,Exilis Body Sculpting,January,2017,18,2230,8.07
Spider Vein Injections,Sclerotherapy,January,2017,22,3017,7.29
January Botox Special,Dermal Fillers,January,2017,27,3826,7.06
"SculpSure ""Make 2017 Your Most Beautiful Year Yet"" Promo",SculpSure,January,2017,7,1144,6.12
Botox,Botox,January,2017,13,2574,5.05
Introducing Ultra Shape Power,Event,January,2017,15,3071,4.88
"New Year, New You",HydraFacial,January,2017,12,2673,4.49
New Year Weight Loss,Medical Weight Loss,January,2017,6,1509,3.98
Coolsculpting,CoolSculpting,January,2017,9,2266,3.97
PDO Lifting,Event,January,2017,12,3046,3.94
January Specials,Event,January,2017,21,5392,3.89
January Birthday,Birthday,January,2017,1,280,3.57
Ultherapy New Year Blowout,Ultherapy,January,2017,23,7386,3.11
SculpSure,SculpSure,January,2017,8,2580,3.1
New year New You,RF Skin Tightening,January,2017,13,4471,2.91
January,TruSculpt,January,2017,15,6003,2.5
Introducing Juvederm Volbella,Dermal Fillers,January,2017,5,2021,2.47
January Quarterly Event,Event,January,2017,4,1639,2.44
Exilis Fat Reduction and Skin Tightening,Exilis Body Sculpting,January,2017,19,7899,2.41
Chinese New Year Pre-Sale!,Other,January,2017,45,18857,2.39
Power through the New Year with a New You!,UltraShape,January,2017,11,6043,1.82
Introducing Three for Me,Event,January,2017,8,5229,1.53
January Specials 2017!,Event,January,2017,12,8481,1.41
CoolSculpting,CoolSculpting,January,2017,25,23843,1.05
Upcoming Events for Jan-Feb 2017,Event,January,2017,15,14536,1.03
Fraxel,Fraxel Fractional Laser,January,2017,10,11078,0.9
Get Your Best Body Ever in 2017,Breast Enhancement,January,2017,1,1159,0.86
new year new you,CoolSculpting,January,2017,1,4529,0.22
Sun Damage/Photofacial/Chemical Peel/Skin Analysis - Women,Chemical Peel,January,2017,0,3792,0
Sun Damage/Photofacial/Chemical Peel/Skin Analysis - Men,Chemical Peel,January,2017,0,932,0
Introducing Kybella,Kybella,January,2017,0,3454,0
January Birthday,Birthday,January,2017,0,110,0
Surgical results without the scars,Other,January,2017,0,5060,0
HTCA 2nd Boost,Bioidentical Hormone Replacement Therapy,January,2017,3,33,90.91
Velashape,VelaShape,January,2017,48,1679,28.59
New Year New You,Event,January,2017,49,2346,20.89
SkinCeuticals Professional Peel Treatments,Chemical Peel,January,2017,13,767,16.95
The Nano Peel,Laser Skin Resurfacing,January,2017,17,1173,14.49
De-stress after the holidays,Other,January,2017,7,669,10.46
PEEL AWAY 2016,Chemical Peel,January,2017,20,2060,9.71
January Specials,Event,January,2017,29,3008,9.64
Urban Ritual-Non Members,HydraFacial,January,2017,2,219,9.13
Cheers to a New Year and a New You!,Event-RSVP,January,2017,7,839,8.34
"New Year, NEW YOU! 10% OFF CoolSculpting",CoolSculpting,January,2017,12,1540,7.79
"$50 off Botox, Restylane, Perlane or Radiesse",Botox,January,2017,9,1255,7.17
Winter Sale,Event,January,2017,14,1969,7.11
SkinPen + SkinFuse,Micro-Needling,January,2017,2,314,6.37
Hormone Therapy Pellets,Bioidentical Hormone Replacement Therapy,January,2017,49,7949,6.16
Weight Loss Cosultations,Medical Weight Loss,January,2017,8,1330,6.02
"New Year, New You - January - Male",Vanquish Body,January,2017,5,1110,4.5
"New Year, New You",Laser Skin Resurfacing,January,2017,45,11406,3.95
January Birthday,Birthday,January,2017,1,324,3.09
MiXto Laser,MiXto,January,2017,7,2454,2.85
"New Year, New You - January - Female",Vanquish Body,January,2017,12,4687,2.56
Peels,Chemical Peel,January,2017,28,11119,2.52
PRP and Voluma Special,Dermal Fillers,January,2017,14,5594,2.5
Tattoo Removal,Tattoo Removal,January,2017,10,4487,2.23
New Year New You,Fractora,January,2017,5,2380,2.1
20% off leg and facial vein treatments,Vein Treatments,January,2017,30,15366,1.95
"New Year, New Spa, New Procedure",Event,January,2017,8,4167,1.92
Botox Parties,Event,January,2017,3,1595,1.88
Lila Body Contouring,Cellulite Reduction,January,2017,3,1664,1.8
Pore Size,IPL Therapy,January,2017,13,7657,1.7
New Year New You! 10% off CoolSculpting Men,CoolSculpting,January,2017,2,1240,1.61
Vanquish,Vanquish Body,January,2017,6,4273,1.4
Ladies ONLY Educational Event,ThermiVa,January,2017,5,3887,1.29
Lipo - January,Liposuction,January,2017,15,13425,1.12
Filler & Dysport Prices to Increase in 2017,Dermal Fillers,January,2017,18,16432,1.1
Leg Vein Event,Vein Treatments,January,2017,3,2810,1.07
"CHIN UP in 2017 with Cool Mini Neck and Chin Treatment, Coolsculpting",CoolSculpting,January,2017,5,6574,0.76
Do your hands not match your face?-Hand Rejuvination,Other,January,2017,1,1876,0.53
Skin Tag Removal,Dermabrasion,January,2017,0,5239,0
coolsculpt after holiday weight gain,CoolSculpting,January,2017,0,276,0
Open House,Event-RSVP,January,2017,11,1091,10.08
Nutrient Therapy *New Service Announcement*,Nutritional Supplements,January,2017,34,5902,5.76
"New Year, New You - January",Medical Weight Loss,January,2017,41,7607,5.39
ThermiVa/ThermiSmooth Event 1,ThermiVa,January,2017,10,1954,5.12
Gx Slim - Genetic Testing for Weight Loss,Event,January,2017,11,2221,4.95
Happy New Year,Dermal Fillers,January,2017,6,1630,3.68
Introducing Volbella,Dermal Fillers,January,2017,4,1502,2.66
"New Year, New You !!!!",Ultherapy,January,2017,21,8688,2.42
January SkinPen Special,Micro-Needling,January,2017,4,2539,1.58
Botox Bh,Botox,January,2017,1,2191,0.46
We are Expanding!,Event,January,2017,0,299,0
Chemical Peel Special,Chemical Peel,January,2017,2,177,11.3
New Year Lose the Regret,Tattoo Removal,January,2017,3,361,8.31
Unveil Your New Skin - January (40+),IPL Therapy,January,2017,24,2899,8.28
Non-Ablative Laser Skin Resurfacing,Fractional Laser,January,2017,14,2376,5.89
CoolScupting Offer #2,CoolSculpting,January,2017,4,684,5.85
Client Appreciation Reminder,Event,January,2017,4,767,5.22
January Newsletter,Other,January,2017,13,3211,4.05
"Its the New Year, Make it a New You",Laser Hair Removal,January,2017,15,4161,3.6
January 2017 Specials,Venus Body,January,2017,17,5435,3.13
Laser Hair Removal,Laser Hair Removal,January,2017,22,7673,2.87
Start the New Year off Special,Event,January,2017,33,12879,2.56
Cellfina,Cellfina,January,2017,15,6876,2.18
Book a Botox Party!,Botox,January,2017,8,4431,1.81
New Years Resolution SculpSure,SculpSure,January,2017,12,6715,1.79
Start the New Years off right with some Beauty Fix Special time sensitive offers,Event,January,2017,30,22472,1.33
ThermiSmooth Intro,ThermiSmooth,January,2017,29,23839,1.22
coolsculpting cooladvantage,CoolSculpting,January,2017,3,2515,1.19
VIP Membership,Event,January,2017,3,3355,0.89
Metabolic Detox,Event,January,2017,2,2444,0.82
"Juvederm, Volbella or Voluma",Juvederm,January,2017,7,11045,0.63
Week #1 - $11 Off Massages This Week!,Massage,January,2017,3,5381,0.56
Be a perfect 10 this new year,Botox,January,2017,5,10374,0.48
SCULPSURE - JAN,SculpSure,January,2017,0,2780,0
"New Year, New You",Other,January,2017,0,233,0
A new you for 2017,Medical Weight Loss,January,2017,0,1591,0
Updated Contact Information & Special Gift For You,Other,January,2017,556,25204,22.06
New Year Packages,Juvederm,January,2017,8,823,9.72
Newsletter,Other,January,2017,8,1031,7.76
January Specials from Reflections,Micro-Needling,January,2017,20,2996,6.68
Hair Where You Want It - Women's Campaign,Laser Hair Removal,January,2017,35,5419,6.46
new year new you,Exilis Body Sculpting,January,2017,18,4248,4.24
Juvederm,Juvederm,January,2017,35,10975,3.19
Sculptra,Dermal Fillers,January,2017,6,1889,3.18
Put Your Best Face Forward,Fraxel Fractional Laser,January,2017,46,15982,2.88
Hair Where You Want It - Men's Campaign,Laser Hair Removal,January,2017,3,1370,2.19
Coolsculpting special,CoolSculpting,January,2017,11,5327,2.06
Ovation Ab Blaster,Vanquish ZWave,January,2017,11,5573,1.97
CoolSculpting & ZWave,CoolSculpting,January,2017,4,2500,1.6
CoolSculpting + Zwave! Version B,CoolSculpting,January,2017,4,2505,1.6
"New Year, The NEW YOU!",Other,January,2017,6,6125,0.98
Mona Lisa Touch,Mona Lisa Touch,January,2017,3,3455,0.87
SculpSure,SculpSure,January,2017,5,7233,0.69
"Buy 3, Get 1 FREE",Sculptra,January,2017,9,17671,0.51
SculpSure Men,SculpSure,January,2017,0,1162,0
AWeigh-You-Go,Medical Weight Loss,January,2017,0,2011,0
Revision skincare promo,Other,January,2017,0,472,0
WE HEARD IT'S YOUR BIRTHDAY!,Birthday,January,2017,2,355,5.63
Save More in 2017!,Other,January,2017,22,1099,20.02
EVENT,CoolSculpting,January,2017,20,2133,9.38
$50 OFF Skin Revitalization,Laser Skin Resurfacing,January,2017,8,1168,6.85
Defy the Aging Process!,Bioidentical Hormone Replacement Therapy,January,2017,1,173,5.78
Incredible Dermal Fillers,Dermal Fillers,January,2017,13,3264,3.98
2017 About Face!,Facelift,January,2017,49,13201,3.71
January Treatment Specials,Kybella,January,2017,13,4037,3.22
Continuation of Holiday Ultherapy,Ultherapy,January,2017,19,6575,2.89
"January - ""New Start"" ""New Year, New You""",Kybella,January,2017,7,3316,2.11
Intro to/and price for INTRAcel Fractional RF Microneedling,Other,January,2017,10,5305,1.89
Week #2 - $11 Salt Room Sessions,Event,January,2017,10,5378,1.86
"WIN Lift - Buy1, Get 1 FREE",Nutritional Supplements,January,2017,5,3133,1.6
Facial Volume Replacement,Dermal Fillers,January,2017,2,2354,0.85
Saving cost of CoolSculpting,CoolSculpting,January,2017,0,2009,0
"January - ""New Year, New You"" ""New Start""",Kybella,January,2017,0,192,0
January Birthday,Birthday,January,2017,1,59,16.95
New Year New You,Vanquish Body,January,2017,161,16049,10.03
non-surgical face lift,Sculptra,January,2017,2,299,6.69
Ultherapy - Jan,Ultherapy,January,2017,7,1103,6.35
Laser Open House,Laser Hair Removal,January,2017,4,743,5.38
Liposuction-January,Liposuction,January,2017,37,7708,4.8
Get your body back this year!,CoolSculpting,January,2017,10,2336,4.28
PCA skin Event,Chemical Peel,January,2017,21,6097,3.44
Bellafill January,Bellafill,January,2017,6,2589,2.32
Body Contouring Special,RF Body Contouring,January,2017,28,12198,2.3
Kybella $250 Off,Kybella,January,2017,5,2433,2.06
Restylane - Jan,Dermal Fillers,January,2017,13,7274,1.79
Botox,Botox,January,2017,10,10318,0.97
Acuthin Winter 2017,Event,January,2017,3,3209,0.93
Body Contouring,Pelleve,January,2017,4,4889,0.82
A New Year. A new you,Chemical Peel,January,2017,0,1588,0
Botox & SkinMedica Peels,Chemical Peel,January,2017,0,46,0
New Year New You,BBL Therapy,January,2017,0,5088,0
Carboxytherapy for Under Eye,Other,January,2017,103,2543,40.5
Micro-Needling Workshop,Micro-Needling,January,2017,14,1055,13.27
Weight Loss 50% OFF for the month of january,Medical Weight Loss,January,2017,14,1088,12.87
BOTOX AND JUVEDERM,Botox,January,2017,13,1192,10.91
Vanquish Body Sculpting,Vanquish Body,January,2017,2,251,7.97
Don't let your bonus $20 for Botox pass you by,Botox,January,2017,10,1314,7.61
Perfect time for skin resurfacing,Laser Skin Resurfacing,January,2017,13,2047,6.35
Boost your New Years resolution results!,CoolSculpting,January,2017,29,5069,5.72
Be Fabulous in 2017,Dermal Fillers,January,2017,7,1401,5
Liposuction and Tummy Tuck,Liposuction,January,2017,11,2286,4.81
New YOU Resolution,CoolSculpting,January,2017,29,6504,4.46
Limited time: Save $20 on your next Botox treatment,Botox,January,2017,11,3066,3.59
January/ New Year Specials,Vein Treatments,January,2017,9,3159,2.85
Sculpsure,SculpSure,January,2017,5,1797,2.78
Kybella,Kybella,January,2017,18,7126,2.53
FotoFacial Flash Sale - 15% Off,IPL Therapy,January,2017,9,3993,2.25
Kybella - Jan/Feb,Kybella,January,2017,14,7035,1.99
Excess Skin from Weight Loss or Childbirth? Skin Tightening Lunch and Learn!,Event,January,2017,24,16490,1.46
Ultherapy - Jan,Ultherapy,January,2017,8,14818,0.54
January Specials,Other,January,2017,0,537,0
Valentine's Day Specials,Laser Hair Removal,January,2017,12,612,19.61
Fat Transfer for Facial Enchancment,Event,January,2017,12,985,12.18
Is your body Spring Break Ready?,Exilis Body Sculpting,January,2017,16,1401,11.42
Injection Day Event,Dermal Fillers,January,2017,8,718,11.14
Make this New Year One of Beauty!,Fractora,January,2017,10,970,10.31
eMatrix,eMatrix,January,2017,19,2061,9.22
No scar facelift,FaceTite,January,2017,10,1243,8.05
New Year New You!,CoolSculpting,January,2017,43,5617,7.66
"New Year, New You",Vanquish Body,January,2017,19,2574,7.38
Holiday Specials Extended,Botox,January,2017,8,1100,7.27
New Year New You,Other,January,2017,28,4566,6.13
Perfect your pout for Valentine's day/ Kissable lips,Dermal Fillers,January,2017,5,829,6.03
Kybella,Kybella,January,2017,3,535,5.61
Winter Wrinkle Relief - One day only! Jan 18,Juvederm,January,2017,23,4957,4.64
Introduction Hair Restoration,PRP Hair Restoration,January,2017,1,230,4.35
Introducing Bodytite- informational campaign,Event,January,2017,46,12612,3.65
Coming to Fuchsia; Infrared Sauna,Event,January,2017,40,12813,3.12
Thermiva - A Perfect Valentines Day Gift You Both Can Enjoy,ThermiVa,January,2017,18,5766,3.12
Fraxel Full Face,Fraxel Fractional Laser,January,2017,25,11042,2.26
New Year New You,Vanquish Body,January,2017,17,8290,2.05
Feel good for this New Year,Botox,January,2017,16,8636,1.85
Wrinkle Reduction Event,Event,January,2017,5,2766,1.81
Liquid Facelift Winter Event,Botox,January,2017,33,19116,1.73
Get Help in Meeting Your New Years Goals,Vanquish Body,January,2017,10,5815,1.72
REJUVENATE IN THE NEW YEAR,Medical Weight Loss,January,2017,4,2595,1.54
January Specials - Beach Body Prep Starts in the Winter,SculpSure,January,2017,3,2036,1.47
January Specials,Other,January,2017,4,2777,1.44
"Relook, Rethink, Reimagine - Botox 2017",Botox,January,2017,25,19109,1.31
Coolsculpting,CoolSculpting,January,2017,5,4265,1.17
Introducing Cutera Pearl Fractional Laser,Fractional Laser,January,2017,11,9668,1.14
PrecisionTX for necks,SmartLipo,January,2017,6,8853,0.68
E-Matrix Extended,eMatrix,January,2017,2,3002,0.67
Micro Laser Peel,Laser Skin Resurfacing,January,2017,8,13309,0.6
2017 is your year! let's get rid of the extra........,SmartLipo,January,2017,5,10516,0.48
Free Coolsculpting CoolMini Double Chin Treatment with Ultherapy,Ultherapy,January,2017,1,2267,0.44
DRX9000 winter 2017,Event,January,2017,1,3533,0.28
Perfect Derma Peel,Chemical Peel,January,2017,0,4808,0
New Year Specials - Men,IPL Therapy,January,2017,5,126,39.68
January Birthday 2017,Birthday,January,2017,3,77,38.96
New Year Specials - Women,IPL Therapy,January,2017,10,509,19.65
Cool Event,CoolSculpting,January,2017,20,1784,11.21
Kybella Event,Event-RSVP,January,2017,38,5369,7.08
FLASH SALE - BOTOX/DYSPORT/XEOMIN,Botox,January,2017,6,860,6.98
Cool Night Event,Event,January,2017,24,3625,6.62
Botox Promotion,Botox,January,2017,51,10264,4.97
SculpSure - January,SculpSure,January,2017,4,865,4.62
Botox rebate,Botox,January,2017,8,2222,3.6
"New Year, New You!",Breast Enhancement,January,2017,11,3308,3.33
coolsculpting cool event,CoolSculpting,January,2017,2,608,3.29
BOTOX CHARITY EVENT,Botox,January,2017,13,6800,1.91
flash sale satuday 1/14 only!,Botox,January,2017,7,5339,1.31
"New Year, New You! Make it happen at EternaMD with our signature procedures Colombian Liposculpture and Colombian Butt Lift today!",Liposuction,January,2017,11,9174,1.2
Make The Season Transition SMOOTH,Laser Hair Removal,January,2017,2,2989,0.67
TruSculpt,TruSculpt,January,2017,2,4022,0.5
HCG Physician Directed Weight Loss Program,Medical Weight Loss,January,2017,0,251,0
TLC plus maintenance packages,IPL Therapy,January,2017,8,984,8.13
Body Contouring Lunch + Learn,Event-RSVP,January,2017,6,2524,2.38
Coolsculpting Winter Promo,CoolSculpting,January,2017,31,23277,1.33
Photofacial,IPL Therapy,January,2017,25,1583,15.79
Birthday,Birthday,January,2017,2,243,8.23
Spray Tan,Other,January,2017,1,251,3.98
"NEW YEAR, NEW YOU!",CoolSculpting,January,2017,7,2729,2.57
Skin rejuvenation,Microdermabrasion,January,2017,3,1361,2.2
"Wellness, Weight loss & Healthy Living",Medical Weight Loss,January,2017,6,3524,1.7
11 Weeks of Savings,Event,January,2017,5,5380,0.93
Vanquish,Vanquish Body,January,2017,1,10969,0.09
national wear red day- Support women heart health,Event,January,2017,0,342,0
Need Your Sexy Back? Event,Event,January,2017,14,1240,11.29
Coolsculpting Event,Event,January,2017,21,2208,9.51
$500 off Brazilian Butt Lift surgery,Liposuction,January,2017,13,1435,9.06
Botox and Juvederm - Jan/Feb,Botox,January,2017,2,229,8.73
Kissable lips for Valentine's Day,Lip Augmentation,January,2017,11,1417,7.76
January Specials,Dermal Fillers,January,2017,38,5301,7.17
Get Rid Of Unwanted Hair Gently!,Laser Hair Removal,January,2017,1,180,5.56
"Buy More, Save More on Restylane Lyft & Restylane Silk",Dermal Fillers,January,2017,19,4887,3.89
Botox/Dysport and Fillers #2,Botox,January,2017,2,685,2.92
Mona Lisa Touch,Mona Lisa Touch,January,2017,10,3693,2.71
Cool Advantage and Dual Sculpting,CoolSculpting,January,2017,14,5500,2.55
Sculpt your Resolutions,SculpSure,January,2017,6,2776,2.16
January Campaign,Juvederm,January,2017,18,8615,2.09
January Newsletter,Other,January,2017,18,8765,2.05
Coolsculptin Jan 2017,CoolSculpting,January,2017,5,2461,2.03
Microneedling - Jan/Feb,Micro-Needling,January,2017,22,10943,2.01
Cool Event,CoolSculpting,January,2017,10,5001,2
Lipo - January,Liposuction,January,2017,3,1638,1.83
Genesis Laser Facial SPECIAL!,Laser Skin Resurfacing,January,2017,14,8130,1.72
"New Year, New You!",Chemical Peel,January,2017,17,10481,1.62
BOGO Skincare - January,Other,January,2017,21,14694,1.43
Biggest Loser,Other,January,2017,10,7018,1.42
Vanquish ME 2,Vanquish ME 2,January,2017,2,1525,1.31
"Bella Fill, The Revolutionary Long Lasting Filler",Bellafill,January,2017,5,4561,1.1
Vanquish ME,Vanquish Body,January,2017,3,6485,0.46
0% Financing,Other,January,2017,3,8833,0.34
HAIR GROWTH RESEARCH STUDY- DEADLINE TO JOIN IS JANUARY 25TH.,Event,January,2017,1,4222,0.24
Dr. Riggins PAYS for your weight loss,Medical Weight Loss,January,2017,0,1094,0
January - Venus + Velashape,VelaShape,January,2017,0,2987,0
Don't miss the lowest price on Botox and filler!,Botox,January,2017,0,11374,0
Coolsculpting Men Jan. 2017,CoolSculpting,January,2017,0,231,0
Annual Technology Event,CoolSculpting,January,2017,26,1774,14.66
MonaLisa Touch Jan/Feb,Mona Lisa Touch,January,2017,6,418,14.35
perfectly perfect valentine s eyes,Latisse,January,2017,6,540,11.11
BTL Customer Success Tour,,January,2017,50,4685,10.67
Ultherapy face and neck,Ultherapy,January,2017,20,1907,10.49
Threads and Bellafill,Bellafill,January,2017,4,515,7.77
Body Contouring 2017/Women,Liposuction,January,2017,28,4958,5.65
You are going to love January at SkinMD,Other,January,2017,5,974,5.13
"January Specials!/ New Year, New You",Other,January,2017,14,3453,4.05
